#{"t_start": 1646678874.3116236, "env_id": null}
r,l,t
-1568.0,1020,21.896137
-2918.1,1526,31.138282
-6892.9,1831,42.556089
-5640.8,1666,53.297323
-4723.8,1278,63.641154
-4731.4,1499,73.949092
-5103.0,1548,84.199638
-3645.9,1499,93.238047
-5553.2,1523,102.463182
-6314.7,1914,114.167477
-4298.3,1382,122.207417
-2904.4,1605,132.356528
-6020.7,1581,142.004393
-4134.4,1685,152.060411
-4838.2,1432,160.493125
-3908.8,1639,170.142458
-12398.0,2343,184.1682
-5550.0,1595,194.051048
-6189.1,1975,206.00012
-3161.9,1541,215.084377
-3350.9,1248,222.766071
-2048.8,1402,230.955191
-4585.2,1551,240.190094
-6525.1,1775,250.661045
-3625.9,1489,259.832214
-6503.2,1867,271.03222
-5464.7,1646,280.151395
-5541.6,1679,289.611748
-4730.1,2011,301.280577
-5093.3,1593,310.580015
-3318.3,1444,319.637099
